"","variable","relative_importance","scaled_importance","percentage"
"1","Team.RB.2.ovr",1,1,0.0116161653508034
"2","CBs.Team",0.954503893852234,0.954503893852234,0.0110876750589732
"3","Team.RB.1.ovr",0.936185359954834,0.936185359954834,0.0108748839402368
"4","OL.Opponent",0.926158607006073,0.926158607006073,0.0107584115200523
"5","Team.Opponent.FS.1.ovr",0.907961964607239,0.907961964607239,0.010547036313118
"6","Core.Offense.Opponent",0.907096862792969,0.907096862792969,0.0105369871473982
"7","Team.SS.1.ovr",0.88148832321167,0.88148832321167,0.0102395141172292
"8","Matchup.RB12DL.Team",0.853716969490051,0.853716969490051,0.00991691748038322
"9","Team.WR.1.ovr",0.852440059185028,0.852440059185028,0.00990208467914192
"10","Matchup.WRCB3.Opponent",0.848105072975159,0.848105072975159,0.00985172876253463
"11","Team.Opponent.WR.2.ovr",0.84601616859436,0.84601616859436,0.00982746370384526
"12","Matchup.RB1DL.Opponent",0.84560215473175,0.84560215473175,0.00982265445035966
"13","Team.DL.1.ovr",0.84398478269577,0.84398478269577,0.00980386678935594
"14","Team.CB.3.ovr",0.838174819946289,0.838174819946289,0.00973637730137596
"15","Matchup.All.Opponent",0.834536015987396,0.834536015987396,0.00969410835291031
"16","Team.Opponent.OL.1.ovr",0.827395737171173,0.827395737171173,0.00961116569353022
"17","Week.15",0.825331389904022,0.825331389904022,0.00958718589433351
"18","Box.Opponent",0.823401153087616,0.823401153087616,0.00956476394430793
"19","OL.Team",0.819058001041412,0.819058001041412,0.00951431317199555
"20","Team.Opponent.CB.2.ovr",0.818986713886261,0.818986713886261,0.00951348508861392
"21","Team.WR.2.ovr",0.816404521465302,0.816404521465302,0.00948348991448447
"22","DL.Opponent",0.81597638130188,0.81597638130188,0.00947851656755284
"23","Week.8",0.815162003040314,0.815162003040314,0.00946905661500839
"24","CB.Opponent",0.810977339744568,0.810977339744568,0.00942044687422757
"25","Team.Opponent.RB.2.ovr",0.80951064825058,0.80951064825058,0.00940340954331479
"26","Team.Opponent.SS.1.ovr",0.803212106227875,0.803212106227875,0.00933024463771006
"27","Matchup.WRCB1.Opponent",0.801028251647949,0.801028251647949,0.00930487662180753
"28","Team.DL.2.ovr",0.799439549446106,0.799439549446106,0.00928642199433774
"29","Week.7",0.796432673931122,0.796432673931122,0.0092514936311664
"30","Offense.Opponent",0.792970955371857,0.792970955371857,0.00921128173598403
"31","Team.K.1.ovr",0.787848055362701,0.787848055362701,0.00915177328240205
"32","Team.Opponent.LB.2.ovr",0.787209689617157,0.787209689617157,0.00914435792034752
"33","Matchup.QBWR1RB1FS1CB1LB1.Team",0.786123394966125,0.786123394966125,0.00913173934206144
"34","Team.Opponent.RB.1.ovr",0.785993695259094,0.785993695259094,0.00913023272881862
"35","LBs.Opponent",0.78439873456955,0.78439873456955,0.00911170540172083
"36","Defense.Opponent",0.783463716506958,0.783463716506958,0.00910084407729978
"37","Matchup.RBDL.Team",0.781452894210815,0.781452894210815,0.00907748603301671
"38","LBs.Team",0.78095281124115,0.78095281124115,0.00907167698655195
"39","Team.Opponent.LB.3.ovr",0.779188394546509,0.779188394546509,0.00905118123047929
"40","Matchup.OLDL.Team",0.777297914028168,0.777297914028168,0.00902922109618576
"41","Team.OL.3.ovr",0.774738490581512,0.774738490581512,0.00899949041022669
"42","Team.LB.3.ovr",0.772970020771027,0.772970020771027,0.00897894757249018
"43","Team.OL.5.ovr",0.772493660449982,0.772493660449982,0.00897341409223436
"44","Team.Opponent.DL.3.ovr",0.771564960479736,0.771564960479736,0.00896262615981871
"45","Team.Opponent.OL.5.ovr",0.769743740558624,0.769743740558624,0.00894147056807489
"46","Team.OL.4.ovr",0.769264042377472,0.769264042377472,0.00893589831468415
"47","Team.Opponent.WR.3.ovr",0.768536150455475,0.768536150455475,0.00892744300176072
"48","Matchup.QBWR1RB1FS1CB1LB1.Opponent",0.765869557857513,0.765869557857513,0.00889646742121957
"49","Team.Opponent.K.1.ovr",0.764317154884338,0.764317154884338,0.00887843445159209
"50","DL.Team",0.761659443378448,0.761659443378448,0.00884756203528494
"51","Team.LB.1.ovr",0.759745299816132,0.759745299816132,0.00882532702715989
"52","Team.DL.4.ovr",0.756326198577881,0.756326198577881,0.00878561018182523
"53","Core.Defense.Team",0.756158947944641,0.756158947944641,0.00878366737081449
"54","Team.Opponent.CB.1.ovr",0.75311005115509,0.75311005115509,0.00874825088156954
"55","Team.Opponent.QB.1.ovr",0.751242101192474,0.751242101192474,0.00872655246593676
"56","Team.QB.1.ovr",0.750170826911926,0.750170826911926,0.00871410836675785
"57","Team.Opponent.DL.2.ovr",0.749211013317108,0.749211013317108,0.0087029590133345
"58","Team.Opponent.OL.4.ovr",0.745302379131317,0.745302379131317,0.00865755567233654
"59","Team.LB.2.ovr",0.739983022212982,0.739983022212982,0.00859576514281323
"60","Matchup.QBRBDL.Team",0.739045739173889,0.739045739173889,0.00858487750805062
"61","Team.OL.1.ovr",0.736725628376007,0.736725628376007,0.00855792671739024
"62","Week.9",0.735049486160278,0.735049486160278,0.00853845637226087
"63","Week.11",0.733736515045166,0.733736515045166,0.00852320468268689
"64","Week.12",0.727767944335938,0.727767944335938,0.00845387277842053
"65","Team.CB.2.ovr",0.726695477962494,0.726695477962494,0.00844141483169344
"66","Team.Opponent.DL.1.ovr",0.718688786029816,0.718688786029816,0.0083484077742905
"67","Matchup.QBDL.Opponent",0.718532145023346,0.718532145023346,0.00834658820645864
"68","Matchup.WRCB3.Team",0.716454982757568,0.716454982757568,0.00832245954611891
"69","Matchup.QBRBDL.Opponent",0.715831220149994,0.715831220149994,0.00831521381652968
"70","Matchup.Cores.Team",0.714985370635986,0.714985370635986,0.00830538828871307
"71","Week.2",0.713432431221008,0.713432431221008,0.00828734908768891
"72","Week.3",0.712743818759918,0.712743818759918,0.00827935005147826
"73","Core.Offense.Team",0.711926758289337,0.711926758289337,0.00826985894195039
"74","Team.Opponent.CB.3.ovr",0.710297703742981,0.710297703742981,0.00825093557497443
"75","WRs.Opponent",0.709238052368164,0.709238052368164,0.00823862648939036
"76","Matchup.WRCB2.Opponent",0.70870578289032,0.70870578289032,0.00823244355912453
"77","Week.16",0.708366751670837,0.708366751670837,0.00822850531641994
