"","variable","relative_importance","scaled_importance","percentage"
"1","Overall",1,1,0.0109304504496475
"2","Team.Opponent.RB.1.ovr",0.990484237670898,0.990484237670898,0.0108264388810186
"3","Team.CB.1.ovr",0.983566999435425,0.983566999435425,0.0107508303512374
"4","Matchup.WRCB3.Opponent",0.976820588111877,0.976820588111877,0.0106770890365524
"5","Team.QB.1.ovr",0.972954332828522,0.972954332828522,0.010634829124752
"6","Team.Opponent.WR.3.ovr",0.962109923362732,0.962109923362732,0.0105162948444305
"7","Matchup.QBWR1RB1FS1CB1LB1.Team",0.942131817340851,0.942131817340851,0.0102979251464805
"8","Team.Opponent.OL.4.ovr",0.940310835838318,0.940310835838318,0.0102780209983974
"9","Team.RB.1.ovr",0.936128258705139,0.936128258705139,0.0102323035462913
"10","Team.Opponent.CB.2.ovr",0.923912286758423,0.923912286758423,0.0100987774702335
"11","Team.Opponent.QB.1.ovr",0.923443675041199,0.923443675041199,0.0100936553330782
"12","Team.WR.2.ovr",0.921957194805145,0.921957194805145,0.0100774074345137
"13","Matchup.QBWR1RB1FS1CB1LB1.Opponent",0.921305656433105,0.921305656433105,0.010070285826622
"14","variable.AwayAbr",0.920118510723114,0.920118510723114,0.0100573097892625
"15","Depth.K1",0.919975697994232,0.919975697994232,0.0100557487818058
"16","Team.OL.2.ovr",0.914774179458618,0.914774179458618,0.00999889384118939
"17","Matchup.QBRBDL.Team",0.913583099842072,0.913583099842072,0.00998587480445914
"18","Team.Opponent.RB.2.ovr",0.897629797458649,0.897629797458649,0.00981149802324889
"19","Team.Opponent.FS.1.ovr",0.892370402812958,0.892370402812958,0.00975401047067903
"20","Team.Opponent.OL.3.ovr",0.890431225299835,0.890431225299835,0.00973281438695877
"21","Team.CB.2.ovr",0.887625515460968,0.887625515460968,0.00970214671458894
"22","Team.LB.3.ovr",0.885035037994385,0.885035037994385,0.00967383162899953
"23","Team.Opponent.LB.3.ovr",0.882810473442078,0.882810473442078,0.00964951613638849
"24","Matchup.RBDL.Team",0.871914803981781,0.871914803981781,0.00953042156123698
"25","Matchup.OLDL.Opponent",0.871213614940643,0.871213614940643,0.00952275724916699
"26","Team.TE.1.ovr",0.865202248096466,0.865202248096466,0.00945705030174206
"27","DL.Team",0.861176073551178,0.861176073551178,0.00941304240037315
"28","Team.Opponent.DL.3.ovr",0.860949695110321,0.860949695110321,0.0094105679820425
