"","variable","relative_importance","scaled_importance","percentage"
"1","Overall",1,1,0.0845948523661407
"2","Team.QB.1.ovr",0.408383071422577,0.408383071422577,0.034547105635824
"3","Team.OL.1.ovr",0.2603959441185,0.2603959441185,0.0220281564494463
"4","Team.Opponent.CB.1.ovr",0.260189116001129,0.260189116001129,0.0220106598553922
"5","Team.WR.1.ovr",0.257528126239777,0.257528126239777,0.0217855538193828
"6","Team.Opponent.OL.1.ovr",0.248692393302917,0.248692393302917,0.0210380962960425
"7","Team.Opponent.DL.2.ovr",0.242491900920868,0.242491900920868,0.0205135665583857
"8","Team.FS.1.ovr",0.242178499698639,0.242178499698639,0.0204870544282598
"9","Team.OL.2.ovr",0.241750955581665,0.241750955581665,0.0204508863968044
"10","Team.Opponent.DL.3.ovr",0.236934930086136,0.236934930086136,0.0200434754310185
"11","Team.LB.2.ovr",0.23692524433136,0.23692524433136,0.0200426560660232
"12","Team.SS.1.ovr",0.236151948571205,0.236151948571205,0.0199772392253576
"13","Team.CB.3.ovr",0.232148393988609,0.232148393988609,0.0196385591165031
"14","Team.OL.5.ovr",0.226385444402695,0.226385444402695,0.0191510432470891
"15","Team.Opponent.WR.3.ovr",0.224261462688446,0.224261462688446,0.0189713653275439
"16","Team.Opponent.OL.2.ovr",0.223483860492706,0.223483860492706,0.0189055841845957
"17","Team.DL.3.ovr",0.2221470028162,0.2221470028162,0.0187924929068171
"18","Team.TE.1.ovr",0.218535870313644,0.218535870313644,0.0184870096858888
"19","Team.CB.1.ovr",0.218524143099785,0.218524143099785,0.0184860176239637
"20","Team.Opponent.RB.1.ovr",0.215690523386002,0.215690523386002,0.0182463079826144
"21","Team.Opponent.K.1.ovr",0.215386748313904,0.215386748313904,0.0182206101752378
"22","Team.Opponent.FS.1.ovr",0.214474052190781,0.214474052190781,0.0181434007814471
"23","Team.WR.3.ovr",0.211862504482269,0.211862504482269,0.0179224772885984
"24","Team.Opponent.WR.1.ovr",0.210454344749451,0.210454344749451,0.0178033542238927
"25","Team.Opponent.CB.2.ovr",0.209727585315704,0.209727585315704,0.0177418741168892
"26","Team.LB.1.ovr",0.209632068872452,0.209632068872452,0.0177337939174737
"27","Team.OL.4.ovr",0.20869055390358,0.20869055390358,0.0176541465976815
"28","Team.K.1.ovr",0.204303190112114,0.204303190112114,0.0172829982054659
"29","Team.OL.3.ovr",0.202636554837227,0.202636554837227,0.0171420094404386
"30","Team.CB.2.ovr",0.201687574386597,0.201687574386597,0.0170617305793192
"31","Team.DL.2.ovr",0.200774997472763,0.200774997472763,0.0169845312700207
"32","Team.Opponent.LB.1.ovr",0.200498253107071,0.200498253107071,0.0169611201212618
"33","Team.DL.4.ovr",0.198300704360008,0.198300704360008,0.0167752188094366
"34","Team.Opponent.TE.1.ovr",0.198173433542252,0.198173433542252,0.016764452353398
"35","Week",0.198120012879372,0.198120012879372,0.0167599332403083
"36","Team.DL.1.ovr",0.197774395346642,0.197774395346642,0.0167306957761519
"37","Team.Opponent.RB.2.ovr",0.196435168385506,0.196435168385506,0.0166174040690899
"38","Team.Opponent.QB.1.ovr",0.196035623550415,0.196035623550415,0.0165836046327517
"39","Team.Opponent.CB.3.ovr",0.194930583238602,0.194930583238602,0.0164901239107152
"40","Team.Opponent.OL.4.ovr",0.19332554936409,0.19332554936409,0.0163543463070582
"41","Team.Opponent.OL.5.ovr",0.189707413315773,0.189707413315773,0.0160482706222103
"42","Team.Opponent.DL.1.ovr",0.188228458166122,0.188228458166122,0.0159231586296694
"43","Team.Opponent.DL.4.ovr",0.187056317925453,0.187056317925453,0.0158240015990576
"44","Team.Opponent.WR.2.ovr",0.185982182621956,0.185982182621956,0.015733135281637
"45","Team.Opponent.OL.3.ovr",0.184901475906372,0.184901475906372,0.0156417130565811
"46","Team.WR.2.ovr",0.184750109910965,0.184750109910965,0.0156289082725464
"47","Team.Opponent.LB.3.ovr",0.180431962013245,0.180431962013245,0.0152636151886435
"48","Team.RB.1.ovr",0.174905493855476,0.174905493855476,0.014796104430731
"49","Team.RB.2.ovr",0.171201154589653,0.171201154589653,0.0144827363974245
"50","Team.Opponent.LB.2.ovr",0.166271358728409,0.166271358728409,0.0140657010443474
"51","Team.LB.3.ovr",0.147753730416298,0.147753730416298,0.0124992050111133
"52","Team.Opponent.SS.1.ovr",0.143837854266167,0.143837854266167,0.0121679420463088
