"","variable","relative_importance","scaled_importance","percentage"
"1","Overall",1,1,0.105802980545482
"2","Team.K.1.ovr",0.292864084243774,0.292864084243774,0.0309858930077145
"3","Team.OL.5.ovr",0.271222949028015,0.271222949028015,0.0286961963994994
"4","Team.RB.2.ovr",0.243500143289566,0.243500143289566,0.0257630409232881
"5","Team.CB.1.ovr",0.234573185443878,0.234573185443878,0.0248185421760104
"6","Team.LB.3.ovr",0.230564773082733,0.230564773082733,0.0243944402009459
"7","Team.Opponent.WR.2.ovr",0.22675596177578,0.22675596177578,0.0239914566123349
"8","Team.LB.2.ovr",0.221800208091736,0.221800208091736,0.0234671231017138
"9","Team.QB.1.ovr",0.220125451683998,0.220125451683998,0.0232899288820875
"10","Team.OL.2.ovr",0.2098238915205,0.2098238915205,0.0221999931125209
"11","Team.LB.1.ovr",0.197215780615807,0.197215780615807,0.0208660173997563
"12","Team.OL.4.ovr",0.190504506230354,0.190504506230354,0.0201559445665169
"13","Team.DL.2.ovr",0.187828302383423,0.187828302383423,0.0198727942229642
"14","Team.Opponent.WR.3.ovr",0.187326222658157,0.187326222658157,0.0198196726915597
"15","Team.Opponent.SS.1.ovr",0.186936393380165,0.186936393380165,0.0197784275920442
"16","Team.Opponent.RB.2.ovr",0.18640498816967,0.18640498816967,0.0197222033368965
"17","Team.RB.1.ovr",0.18604764342308,0.18604764342308,0.019684395197625
"18","Team.OL.3.ovr",0.17399674654007,0.17399674654007,0.0184093743891562
"19","Team.Opponent.OL.5.ovr",0.170939743518829,0.170939743518829,0.0180859343579724
"20","Team.Opponent.DL.3.ovr",0.17060175538063,0.17060175538063,0.018050174205562
"21","Team.TE.1.ovr",0.170167475938797,0.170167475938797,0.0180042261462264
"22","Team.Opponent.K.1.ovr",0.169726461172104,0.169726461172104,0.0179575654694457
"23","Team.WR.3.ovr",0.166602268815041,0.166602268815041,0.0176270166062709
"24","Team.Opponent.RB.1.ovr",0.166601315140724,0.166601315140724,0.0176269157046858
"25","Team.Opponent.QB.1.ovr",0.163240373134613,0.163240373134613,0.0172713180229987
"26","Team.Opponent.OL.4.ovr",0.159649252891541,0.159649252891541,0.0168913667977844
"27","Team.DL.4.ovr",0.153708562254906,0.153708562254906,0.0162628240219298
"28","Team.Opponent.LB.2.ovr",0.153241097927094,0.153241097927094,0.0162133649027486
"29","Team.Opponent.OL.3.ovr",0.151522248983383,0.151522248983383,0.0160315055613966
"30","Team.Opponent.CB.1.ovr",0.151443630456924,0.151443630456924,0.0160231874869712
"31","Team.Opponent.OL.1.ovr",0.150906726717949,0.150906726717949,0.0159663814711216
"32","Team.Opponent.OL.2.ovr",0.149602979421616,0.149602979421616,0.0158284411212914
"33","Team.Opponent.LB.1.ovr",0.147262796759605,0.147262796759605,0.0155808428206298
"34","Team.DL.3.ovr",0.143499583005905,0.143499583005905,0.0151826835890586
"35","Team.OL.1.ovr",0.142572537064552,0.142572537064552,0.0150845993653609
"36","Team.Opponent.DL.1.ovr",0.142162933945656,0.142162933945656,0.0150412621345409
"37","Team.CB.2.ovr",0.141646593809128,0.141646593809128,0.014986631809121
"38","Team.Opponent.LB.3.ovr",0.140894025564194,0.140894025564194,0.0149070078457431
"39","Team.Opponent.TE.1.ovr",0.138663619756699,0.138663619756699,0.0146710242634841
"40","Team.Opponent.CB.2.ovr",0.13666145503521,0.13666145503521,0.0144591892684076
"41","Week",0.133386299014091,0.133386299014091,0.0141126679996218
"42","Team.FS.1.ovr",0.128006726503372,0.128006726503372,0.0135434931939272
"43","Team.CB.3.ovr",0.126433029770851,0.126433029770851,0.0133769913891517
"44","Team.WR.1.ovr",0.126275345683098,0.126275345683098,0.0133603079426828
"45","Team.DL.1.ovr",0.125626221299171,0.125626221299171,0.0132916286481187
"46","Team.Opponent.FS.1.ovr",0.125410944223404,0.125410944223404,0.0132688516918594
"47","Team.Opponent.CB.3.ovr",0.125300168991089,0.125300168991089,0.0132571313421098
"48","Team.SS.1.ovr",0.117940664291382,0.117940664291382,0.0124784738095423
"49","Team.Opponent.DL.2.ovr",0.115131750702858,0.115131750702858,0.0121812823797818
"50","Team.Opponent.DL.4.ovr",0.109407231211662,0.109407231211662,0.0115756111554226
"51","Team.Opponent.WR.1.ovr",0.107001967728138,0.107001967728138,0.0113211271098685
"52","Team.WR.2.ovr",0.0828005596995354,0.0828005596995354,0.00876054600704498
