"","variable","relative_importance","scaled_importance","percentage"
"1","Overall",1,1,0.0793161543016678
"2","Depth.TE1",0.360079675912857,0.360079675912857,0.0285601351355987
"3","variable.AwayAbr",0.231812089681625,0.231812089681625,0.0183864434741799
"4","Depth.TE2",0.227399691939354,0.227399691939354,0.0180364690540135
"5","Team.RB.2.ovr",0.203463852405548,0.203463852405548,0.0161379703122102
"6","Team.Opponent.WR.3.ovr",0.20267191529274,0.20267191529274,0.0160751569059735
"7","Team.WR.2.ovr",0.186166420578957,0.186166420578957,0.0147660045404297
"8","Team.Opponent.WR.2.ovr",0.174314796924591,0.174314796924591,0.0138259793299348
"9","Depth.TE4",0.159466907382011,0.159466907382011,0.0126483018319214
"10","Team.RB.1.ovr",0.154529005289078,0.154529005289078,0.0122566464275917
"11","Team.Opponent.CB.1.ovr",0.151087090373039,0.151087090373039,0.011983646973018
"12","WRs.Opponent",0.138017669320107,0.138017669320107,0.0109470307561501
"13","Team.Opponent.CB.2.ovr",0.136638402938843,0.136638402938843,0.0108376326510307
"14","Team.CB.2.ovr",0.129701495170593,0.129701495170593,0.0102874238041078
"15","Team.SS.1.ovr",0.128552794456482,0.128552794456482,0.0101963132810209
"16","Team.TE.1.ovr",0.126928627490997,0.126928627490997,0.0100674906033749
"17","Ss.Opponent",0.124427944421768,0.124427944421768,0.00986914603919631
"18","Team.OL.4.ovr",0.123121529817581,0.123121529817581,0.00976552625686866
"19","Week.15",0.121118411421776,0.121118411421776,0.00960664660910246
"20","Matchup.WRCB1.Team",0.11380647867918,0.11380647867918,0.00902669222344732
"21","Matchup.Cores.Team",0.113200932741165,0.113200932741165,0.00897866264839098
"22","Core.Offense.Team",0.113198056817055,0.113198056817055,0.00897843454115048
"23","Core.Defense.Opponent",0.107784256339073,0.107784256339073,0.00854903270708045
"24","Team.Opponent.DL.2.ovr",0.107263192534447,0.107263192534447,0.00850770392995168
"25","Team.FS.1.ovr",0.107244253158569,0.107244253158569,0.00850620173149221
"26","Team.OL.3.ovr",0.106633096933365,0.106633096933365,0.00845772717003147
"27","Matchup.QBRBDL.Team",0.10549022257328,0.10549022257328,0.00836707877093958
"28","Matchup.QBDL.Team",0.104982830584049,0.104982830584049,0.0083268343896303
"29","Team.Opponent.WR.1.ovr",0.104623697698116,0.104623697698116,0.00829834935023484
"30","Matchup.QBWR1RB1FS1CB1LB1.Team",0.104494661092758,0.104494661092758,0.00828811466293369
"31","Team.QB.1.ovr",0.102728955447674,0.102728955447674,0.00814806568153685
"32","Matchup.RBDL.Team",0.101869471371174,0.101869471371174,0.00807989470990536
"33","Team.LB.3.ovr",0.101251468062401,0.101251468062401,0.00803087706410778
"34","DL.Team",0.100408479571342,0.100408479571342,0.00796401445887646
