"","variable","relative_importance","scaled_importance","percentage"
"1","Overall",1,1,0.105580493471788
"2","Depth.WR1",0.315293908119202,0.315293908119202,0.033288886407874
"3","Depth.WR5",0.155935823917389,0.155935823917389,0.0164637812391278
"4","Team.QB.1.ovr",0.137557446956635,0.137557446956635,0.0145233831304008
"5","Depth.WR4",0.132073119282722,0.132073119282722,0.0139443451082282
"6","Ss.Team",0.121919855475426,0.121919855475426,0.0128723585051046
"7","Team.Opponent.DL.4.ovr",0.104964822530746,0.104964822530746,0.0110822377599749
"8","Depth.WR3",0.0994700491428375,0.0994700491428375,0.0105020968741638
"9","variable.AwayAbr",0.0987553745508194,0.0987553745508194,0.0104266411780668
"10","Team.Opponent.CB.1.ovr",0.097612090408802,0.097612090408802,0.0103059326741741
"11","CBs.Team",0.0957378223538399,0.0957378223538399,0.0101080465280328
"12","Depth.WR6",0.0946370214223862,0.0946370214223862,0.00999182342247573
"13","Team.Opponent.QB.1.ovr",0.0942280665040016,0.0942280665040016,0.00994864576038497
"14","Team.Opponent.CB.3.ovr",0.0936716869473457,0.0936716869473457,0.00988990293223563
"15","Matchup.QBWR1RB1FS1CB1LB1.Team",0.0935504510998726,0.0935504510998726,0.00987710279163295
"16","Depth.WR8",0.0904276892542839,0.0904276892542839,0.00954740005498082
"17","Team.Opponent.OL.5.ovr",0.0876869708299637,0.0876869708299637,0.00925803365127387
"18","Team.CB.3.ovr",0.0867027044296265,0.0867027044296265,0.00915411431901856
"19","Team.OL.4.ovr",0.0850852429866791,0.0850852429866791,0.00898334194170059
"20","Team.DL.2.ovr",0.0834308862686157,0.0834308862686157,0.00880867414302909
"21","Team.Opponent.K.1.ovr",0.0811614319682121,0.0811614319682121,0.00856906403808081
"22","Team.LB.1.ovr",0.0811140611767769,0.0811140611767769,0.00856406260654493
"23","Team.CB.1.ovr",0.0805777683854103,0.0805777683854103,0.00850744054898708
"24","Depth.WR7",0.0804988369345665,0.0804988369345665,0.00849910692745655
"25","Defense.Team",0.0797342211008072,0.0797342211008072,0.0084183784104119
"26","Team.OL.3.ovr",0.0770774707198143,0.0770774707198143,0.00813787739415531
"27","Team.OL.2.ovr",0.0766771510243416,0.0766771510243416,0.00809561144316082
"28","Team.SS.1.ovr",0.0763000324368477,0.0763000324368477,0.00805579507659583
"29","Team.Opponent.DL.2.ovr",0.0758432894945145,0.0758432894945145,0.00800757193135453
"30","Team.CB.2.ovr",0.0757006630301476,0.0757006630301476,0.00799251335886454
"31","Matchup.QBDL.Team",0.0755078941583633,0.0755078941583633,0.00797216072625556
"32","Matchup.OLDL.Team",0.0752852335572243,0.0752852335572243,0.00794865211011057
"33","Core.Offense.Team",0.0751285701990128,0.0751285701990128,0.00793211151544165
"34","Team.Opponent.WR.2.ovr",0.0742284581065178,0.0742284581065178,0.00783707723653611
"35","Matchup.WRCB3.Opponent",0.0738654732704163,0.0738654732704163,0.00779875311841774
"36","Team.FS.1.ovr",0.0737935677170753,0.0737935677170753,0.00779116129461264
"37","Matchup.QBDL.Opponent",0.07365483045578,0.07365483045578,0.00777651334610216
"38","Matchup.WRCB1.Opponent",0.0732440650463104,0.0732440650463104,0.00773314453146921
"39","Team.WR.1.ovr",0.0731091648340225,0.0731091648340225,0.00771890170048641
"40","Matchup.QBRBDL.Opponent",0.0729224234819412,0.0729224234819412,0.00769918545638208
"41","Team.Opponent.WR.3.ovr",0.0725813806056976,0.0725813806056976,0.00766317798121324
"42","Team.Opponent.DL.3.ovr",0.0720687881112099,0.0720687881112099,0.00760905821269529
"43","CB.Opponent",0.0717006027698517,0.0717006027698517,0.00757018502266561
"44","Core.Defense.Team",0.0714379921555519,0.0714379921555519,0.00754245846441691
"45","Box.Team",0.0711612403392792,0.0711612403392792,0.00751323887108562
"46","Matchup.RBDL.Team",0.0709883719682693,0.0709883719682693,0.00749498734316874
"47","Matchup.WRCB1.Team",0.0708636268973351,0.0708636268973351,0.00748181669702132
"48","OL.Team",0.0706712603569031,0.0706712603569031,0.00746150654275505
"49","WRs.Team",0.0705541223287582,0.0705541223287582,0.00744913905193921
"50","Team.DL.1.ovr",0.070464164018631,0.070464164018631,0.00743964120916409
"51","Box.Opponent",0.0703949481248856,0.0703949481248856,0.00743233336094635
"52","Team.K.1.ovr",0.0702912136912346,0.0702912136912346,0.00742138102825147
"53","Matchup.Cores.Team",0.0702661350369453,0.0702661350369453,0.007418733211556
"54","Team.OL.5.ovr",0.0699225589632988,0.0699225589632988,0.0073824582801553
"55","Team.Opponent.RB.2.ovr",0.0690115466713905,0.0690115466713905,0.00728627315281676
"56","Matchup.QBWR1RB1FS1CB1LB1.Opponent",0.0688637644052505,0.0688637644052505,0.00727067022823132
"57","Matchup.RB12DL.Team",0.0682686939835548,0.0682686939835548,0.00720784239945822
"58","Team.Opponent.TE.1.ovr",0.0679934248328209,0.0679934248328209,0.00717877934668617
"59","Core.Offense.Opponent",0.0670362636446953,0.0670362636446953,0.00707772179611183
"60","Offense.Team",0.0668516159057617,0.0668516159057617,0.00705822659671677
"61","Secondary.Team",0.0664481073617935,0.0664481073617935,0.00701562396552453
